ppo_gan1_t1,MMD,0.867,0.667,"[['0', 0.4586, 2], ['1', 0.4082, 1]]",KS,0.867,0.667,"[['0', 0.4586, 2], ['1', 0.4082, 1]]"
ppo_gan2_t1,MMD,0.67,1.0,"[['0', 0.04375, 0], ['1', 0.25184, 2], ['2', 0.3748, 1]]",KS,0.67,1.0,"[['0', 0.04375, 0], ['1', 0.25184, 2], ['2', 0.3748, 1]]"
ppo_gan3_t1,MMD,0.484,0.667,"[['3', 0.1702, 2], ['4', 0.05128, 1], ['5', 0.2622, 1]]",KS,0.484,0.667,"[['3', 0.1702, 2], ['4', 0.05128, 1], ['5', 0.2622, 1]]"
ppo_vae1_t1,MMD,0.577,0.667,"[['0', 0.2224, 1], ['1', 0.355, 2]]",KS,0.577,0.667,"[['0', 0.2224, 1], ['1', 0.355, 2]]"
ppo_vae2_t1,MMD,0.588,0.667,"[['0', 0.3684, 2], ['1', 0.2196, 1]]",KS,0.588,0.667,"[['0', 0.3684, 2], ['1', 0.2196, 1]]"
ppo_vae3_t1,MMD,0.833,0.667,"[['0', 0.264, 1], ['1', 0.569, 2]]",KS,0.833,0.667,"[['0', 0.264, 1], ['1', 0.569, 2]]"
ppo_vae4_t1,MMD,0.475,0.667,"[['0', 0.30959, 2], ['1', 0.00333, 1], ['2', 0.1616, 1]]",KS,0.475,0.667,"[['0', 0.30959, 2], ['1', 0.00333, 1], ['2', 0.1616, 1]]"
ppo_vae5_t1,MMD,0.636,1.0,"[['0', 0.3684, 2], ['1', 0.02022, 0], ['2', 0.2474, 1]]",KS,0.636,1.0,"[['0', 0.3684, 2], ['1', 0.02022, 0], ['2', 0.2474, 1]]"
ppo_vae6_t1,MMD,0.714,1.0,"[['0', 0.2682, 1], ['1', 0.02826, 0], ['2', 0.418, 2]]",KS,0.714,1.0,"[['0', 0.2682, 1], ['1', 0.02826, 0], ['2', 0.418, 2]]"
ppo_vae7_t1,MMD,0.477,0.667,"[['1', 0.01, 1], ['3', 0.1526, 1], ['5', 0.31408, 2]]",KS,0.477,0.667,"[['1', 0.01, 1], ['3', 0.1526, 1], ['5', 0.31408, 2]]"
ppo_vae8_t1,MMD,0.642,1.0,"[['0', 0.3654, 2], ['1', 0.2562, 1], ['4', 0.02082, 0]]",KS,0.642,1.0,"[['0', 0.3654, 2], ['1', 0.2562, 1], ['4', 0.02082, 0]]"
ppo_vae9_t1,MMD,0.684,1.0,"[['3', 0.02872, 0], ['4', 0.2642, 1], ['5', 0.391, 2]]",KS,0.684,1.0,"[['3', 0.02872, 0], ['4', 0.2642, 1], ['5', 0.391, 2]]"
